0-2.50-60-000,0-2.50-60-060,0-2.50-60-120,1-2.50-60-000,1-2.50-60-060,1-2.50-60-120,2-2.50-60-000,2-2.50-60-060,2-2.50-60-120
350,355,5,45,50,25,335,10,90
5,45,40,10,340,90,335,55,115
0,15,40,15,20,155,30,0,180
70,35,315,350,335,345,300,340,285
0,80,170,30,0,10,320,110,150
340,175,240,335,315,285,75,75,205
355,350,45,70,355,325,325,45,60
350,35,345,350,35,75,30,20,45
20,60,350,305,65,20,275,90,75
320,25,105,20,15,15,45,20,55
350,110,185,65,70,75,20,240,150
10,220,250,25,10,10,15,335,255
350,130,185,0,60,105,20,75,195
355,105,65,280,20,70,330,120,155
