5deg,20deg,45deg,60deg,75deg,80deg,82deg,84deg,86deg,88deg,90deg
0.763,0.696,0.81,0.504,0.767,0.559,0.364,0.782,0.527,0.572,0.121
0.722,0.819,0.926,0.736,0.962,0.951,0.748,0.567,0.601,0.119,0.496
0.813,0.905,0.737,0.525,0.798,0.403,0.313,0.757,0.391,0.509,0.427
0.806,0.972,0.779,0.94,0.458,0.717,0.757,0.88,0.649,0.366,0.425
0.623,0.947,0.977,0.682,0.807,0.699,0.387,0.422,0.388,0.796,0.354
0.849,0.675,0.819,0.78,0.944,0.683,0.577,0.461,0.255,0.194,0.564
0.948,0.854,0.952,0.914,0.388,0.756,0.606,0.65,0.81,0.149,0.543
0.708,0.71,0.31,0.673,0.915,0.585,0.647,0.216,0.096,0.133,0.348
0.833,0.259,0.735,0.874,0.378,0.777,0.695,0.446,0.448,0.249,0.377
0.901,0.535,0.757,0.904,0.419,0.05,0.638,0.421,0.491,0.144,0.541
0.923,0.618,0.909,0.948,0.493,0.468,0.638,0.824,0.421,0.566,0.32
0.43,0.849,0.727,0.561,0.821,0.549,0.78,0.346,0.038,0.609,0.482
0.75,0.917,0.965,0.698,0.113,0.475,0.324,0.687,0.62,0.167,0.093
0.74,0.823,0.685,0.288,0.506,0.557,0.565,0.588,0.377,0.216,0.072
0.801,0.434,0.655,0.839,0.695,0.748,0.708,0.261,0.149,0.344,0.262
0.7,0.707,0.677,0.675,0.727,0.377,0.648,0.308,0.074,0.308,0.128
0.661,0.714,0.592,0.701,0.656,0.249,0.4,0.094,0.273,0.2,0.198
0.227,0.76,0.431,0.924,0.693,0.353,0.587,0.67,0.641,0.374,0.504
0.951,0.885,0.469,0.622,0.782,0.541,0.616,0.307,0.271,0.471,0.233
0.806,0.796,0.388,0.578,0.586,0.395,0.339,0.547,0.611,0.376,0.405
