point nr,m,theta,two-five,one-two-five
1,30,-30,2.6,1.22
2,27,0,2.7,1.3
3,30,30,2.5,1.24
4,30,-60,2.4,1.09
5,18,-45,2.5,1.1
6,13,0,2.6,1.23
7,18,45,2.4,1.09
8,30,60,1.8,1.15
9,27,-90,2.2,1.02
10,13,-90,2.2,1.16
11,0,0,2.5,1.25
12,13,90,2.2,1.15
13,27,90,1.9,1
14,30,-120,1.9,1
15,18,-135,1.9,1
16,13,180,2.5,1.15
17,18,135,2.2,1.14
18,30,120,1.9,1.1
19,30,-150,1.8,0.9
20,27,180,2.3,1.06
21,30,150,2.1,1.1
22,40,-45,2.3,1.2
23,40,45,2.2,1.1
24,40,90,1.5,0.9
25,40,135,1.5,1
26,40,-135,2,1
27,32,0,2.7,1.4
28,32,45,2.1,1.2
29,32,90,1.7,0.9
30,32,135,2.1,1.1
31,32,180,2.3,1.1
32,32,-135,2,1
33,32,-90,2.2,1
34,32,-45,2.4,1.25
